status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0660928,0.0272283,0.11605,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0006,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0444306,0.0217341,0.0848704,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0014,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0470792,0.0213004,0.0858959,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0015,149,128
$,normalized-4_5_0.opb,0,-,0,0.0255699,0.0400711,20,69
$,normalized-sha1-size144-round21-6.opb,1,-,1168.74,0.074119,1168.97,3968,7920
*,normalized-sha1-size144-round21-6.opb,1,0,0,0,0.0026,3968,7920
$,normalized-7_7_7.opb,0,-,0.0646037,0.0289096,0.118415,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0005,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.5915,0.0453228,40.6974,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0015,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.71636,0.484082,2.10602,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0265,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.37051,1.35892,6.18972,75527,272784
*,clauses-2.opb,1,0,0,0,0.0959,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0942255,0.0223764,0.13121,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.060579,0.0227885,0.137496,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0014,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0533221,0.0241722,0.0969765,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0014,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0508407,0.0278899,0.0985779,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0014,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0712886,0.0265995,0.112603,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0015,60,160
$,normalized-8_7_19.opb,0,-,191.746,0.0408887,191.842,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0013,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.416185,0.156634,0.856547,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,2,50,892,100,0.0111,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.905674,0.0232032,0.94646,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.146624,0.0440197,0.267725,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0016,6435,2146
$,normalized-8_7_20.opb,1,-,0.373678,0.0430047,0.486191,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0014,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0920871,0.0263982,0.136291,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0015,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.51408,0.0949217,0.812672,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0044,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0920977,0.0253173,0.134736,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0016,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0417626,0.0266847,0.0832095,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0017,141,70
$,normalized-107.opb,1,-,8.54606,1.29229,13.1641,10238,224043
*,normalized-107.opb,1,0,0,0,0.0912,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0501648,0.0291221,0.106257,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0.0012,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.1643,0.109678,62.5026,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,0,0,0,0.0051,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0696095,0.0236752,0.110983,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,0,0,0,0.0013,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0416385,0.0273833,0.0844729,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0017,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0440338,0.0246816,0.082985,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0017,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0544324,0.0230981,0.0935872,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.0015,138,277
$,normalized-7_7_12.opb,0,-,0.80399,0.0331061,0.871921,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.0007,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,1.03476,1.8631,7.3874,118528,348058
*,itox_vc1033.opb,1,0,0,0,0.1258,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.042436,0.0243483,0.0847168,269,268
*,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0014,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.152401,0.0333067,0.238275,231,2707
*,normalized-t3002.11tsp11.1900669309.opb,1,0,0,0,0.0011,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,81.4519,0.351289,82.5197,7000,67586
*,velev-engi-uns-1.0-4nd.opb,1,0,0,0,0.0259,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.126845,0.0336494,0.213598,231,2707
*,normalized-t3002.11tsp11.1900564822.opb,1,0,0,0,0.0011,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.31892,0.0378558,1.40207,231,2707
*,normalized-t3002.11tsp11.1900551864.opb,1,0,0,0,0.0011,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.1172,0.0653588,81.3423,360,15466
*,new-difficult-20-152-18-95.opb,1,0,0,0,0.0052,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0775869,0.0239757,0.117105,78,208
*,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0014,78,208
$,normalized-ECgrid5x70split.opb,0,-,154.535,0.0277339,154.581,701,351
*,normalized-ECgrid5x70split.opb,1,0,0,0,0.0009,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0419732,0.0198694,0.0756884,105,104
*,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0017,105,104
$,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.132162,0.0240148,0.172152,81,216
*,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0014,81,216
$,normalized-vertexcover-grid4x11.opb,0,-,0.0420606,0.0303183,0.0890793,44,89
*,normalized-vertexcover-grid4x11.opb,1,0,0,0,0.0017,44,89
$,normalized-j1208_10-unsat.opb,0,-,15.1096,0.412873,16.1201,22022,69222
*,normalized-j1208_10-unsat.opb,1,0,0,0,0.022,22022,69222
$,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,0,-,131.352,0.027248,131.396,114,304
*,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,114,304
$,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,3.62767,0.0228162,3.66591,117,312
*,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,117,312
$,normalized-5_7_7.opb,0,-,0.061747,0.0274253,0.111463,156,677
*,normalized-5_7_7.opb,1,0,0,0,0.0009,156,677
&,normalized-j12047_6-sat.opb,timeout,-1,-1,-1,-1,33396,116135
$,uts-l06-ipc5-h28-unknown.opb,0,-,68.9015,3.08905,78.3977,113583,649270
*,uts-l06-ipc5-h28-unknown.opb,1,0,0,0,0.2355,113583,649270
$,normalized-TateBritain_K103.opb,1,-,78.7317,0.0876844,79.0553,7004,7212
*,normalized-TateBritain_K103.opb,1,0,0,0,0.004,7004,7212
$,velev-live-uns-2.0-ebuf.opb,0,-,80.819,0.817077,83.3347,14628,161477
*,velev-live-uns-2.0-ebuf.opb,1,0,0,0,0.0608,14628,161477
