status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0659894,0.0208969,0.109784,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0003,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0419336,0.0249581,0.0844714,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.001,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0492644,0.0248916,0.092699,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0016,149,128
$,normalized-4_5_0.opb,0,-,0,0.0171663,0.0324199,20,69
$,normalized-sha1-size144-round21-6.opb,1,-,1775.02,0.0717992,1775.25,3968,7920
*,normalized-sha1-size144-round21-6.opb,2,50,48,100,0.0005,3968,7920
$,normalized-7_7_7.opb,0,-,0.065471,0.0253156,0.116711,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0001,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7688,0.0410281,40.8708,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.715695,0.476986,2.09404,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.38102,1.25927,6.07727,75527,272784
*,clauses-2.opb,1,0,0,0,0,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0946699,0.0209602,0.130334,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0012,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0626088,0.0286027,0.111223,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0014,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0553626,0.025633,0.100705,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0013,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0496006,0.0202031,0.08975,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0013,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0709883,0.0269933,0.113346,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0015,60,160
$,normalized-8_7_19.opb,0,-,193.105,0.0412166,193.201,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.416697,0.142609,0.830534,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.904302,0.0249023,0.945635,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0014,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.144749,0.0409707,0.259834,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0,6435,2146
$,normalized-8_7_20.opb,1,-,0.371428,0.0397004,0.482697,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0914554,0.0219845,0.131443,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0012,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.514598,0.0835661,0.849087,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0,20795,4160
