status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0673283,0.0296764,0.12084,182,798
*,normalized-6_6_7.opb,1,0,0,0,0,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0433312,0.0267776,0.0885483,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0463131,0.0225608,0.0860649,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0,149,128
$,normalized-4_5_0.opb,0,-,0,0.0198748,0.0338049,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0663184,0.0269507,0.118187,210,929
*,normalized-7_7_7.opb,1,0,0,0,0,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7493,0.0425307,40.8527,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0001,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.713018,0.464261,2.08593,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.001,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.36138,1.23471,6.09025,75527,272784
*,clauses-2.opb,1,0,0,0,0.0029,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0945984,0.0188696,0.130106,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0620454,0.0222617,0.104247,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0518653,0.028086,0.10023,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0527056,0.0254633,0.0997033,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0710723,0.0270939,0.112842,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,60,160
$,normalized-8_7_19.opb,0,-,191.409,0.0462006,191.516,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.41761,0.151092,0.838322,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0.0003,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.919442,0.0198115,0.955023,93,248
