status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0673584,0.0321527,0.122737,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0017,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.044861,0.0276496,0.0900113,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0022,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0462366,0.0279004,0.0922935,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0024,149,128
$,normalized-4_5_0.opb,0,-,0,0.0300087,0.0446665,20,69
$,normalized-sha1-size144-round21-6.opb,1,-,1169.7,0.0766102,1169.94,3968,7920
*,normalized-sha1-size144-round21-6.opb,1,0,0,0,0.0021,3968,7920
$,normalized-7_7_7.opb,0,-,0.0831277,0.0316978,0.144226,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0026,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.8239,0.0406863,40.9244,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0015,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.712897,0.466927,2.07896,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0047,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.36427,1.22154,6.0403,75527,272784
*,clauses-2.opb,1,0,0,0,0.0111,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0938951,0.0267606,0.136981,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0025,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0609475,0.0247322,0.107402,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0027,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0541963,0.025119,0.0995192,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0026,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0499341,0.0261137,0.0968208,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0022,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0719565,0.0221924,0.109068,60,160
