status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0682154,0.0285396,0.120146,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0021,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0417906,0.032783,0.0928239,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,100,172,100,0.0029,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0489428,0.0225537,0.0882344,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0029,149,128
$,normalized-4_5_0.opb,0,-,0,0.0245469,0.040844,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0660581,0.0298028,0.122019,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0021,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7505,0.0439736,40.8558,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0033,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.7292,0.519256,2.09881,24684,81723
*,normalized-j12035_4-sat.opb,1,100,1391,100,0.0375,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.27417,1.36668,6.0305,75527,272784
*,clauses-2.opb,1,100,5413,100,0.1182,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0937717,0.0235265,0.129351,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0026,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0906261,0.0304099,0.140203,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,100,28,100,0.0029,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0513523,0.0249304,0.0940526,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0027,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0520292,0.0296309,0.102,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0026,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0713852,0.0215401,0.107029,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0027,60,160
$,normalized-8_7_19.opb,0,-,190.997,0.0409962,191.093,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0037,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.421072,0.160028,0.853403,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,100,307,100,0.0128,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.914407,0.0229558,0.953878,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0024,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.145554,0.0476665,0.26924,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.005,6435,2146
$,normalized-8_7_20.opb,1,-,0.374129,0.0531428,0.499175,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0037,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0913235,0.0291338,0.138187,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0025,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.515023,0.0895131,0.80698,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0107,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0915318,0.0260135,0.133262,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0028,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0430217,0.024083,0.0817154,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0026,141,70
$,normalized-107.opb,1,-,8.47021,1.31038,13.0636,10238,224043
*,normalized-107.opb,1,0,0,0,0.0982,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.050625,0.0298697,0.107401,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0.0024,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,61.4895,0.109889,61.8212,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,100,877,100,0.0141,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.099623,0.0324132,0.150762,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,100,28,100,0.0028,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.04187,0.0249253,0.0809005,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,100,52,100,0.0028,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0434909,0.0269068,0.0879651,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0026,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0540247,0.0224037,0.0918993,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.0027,138,277
$,normalized-7_7_12.opb,0,-,0.803764,0.0345579,0.873234,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.0024,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,1.20774,1.89125,7.43317,118528,348058
*,itox_vc1033.opb,1,100,24760,100,0.1814,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.0417775,0.0283261,0.0862297,269,268
*,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,1,100,134,100,0.0028,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.221787,0.0407473,0.316781,231,2707
*,normalized-t3002.11tsp11.1900669309.opb,1,100,143,100,0.0035,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,81.6342,0.355826,82.7302,7000,67586
*,velev-engi-uns-1.0-4nd.opb,1,0,0,0,0.0305,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.127767,0.0383264,0.220268,231,2707
*,normalized-t3002.11tsp11.1900564822.opb,1,100,143,100,0.0036,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.46195,0.037524,1.54301,231,2707
*,normalized-t3002.11tsp11.1900551864.opb,1,100,143,100,0.0033,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.4937,0.0685947,81.7246,360,15466
*,new-difficult-20-152-18-95.opb,1,0,0,0,0.0066,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0759494,0.0216469,0.112855,78,208
*,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0025,78,208
$,normalized-ECgrid5x70split.opb,0,-,155.461,0.0227826,155.503,701,351
*,normalized-ECgrid5x70split.opb,1,0,0,0,0.0025,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0399397,0.0267824,0.0818886,105,104
*,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,1,100,52,100,0.003,105,104
$,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.134201,0.0248133,0.176107,81,216
*,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0027,81,216
$,normalized-vertexcover-grid4x11.opb,0,-,0.0428356,0.0254329,0.0817035,44,89
*,normalized-vertexcover-grid4x11.opb,1,0,0,0,0.0026,44,89
$,normalized-j1208_10-unsat.opb,0,-,73.6816,0.437574,74.6263,22022,69222
*,normalized-j1208_10-unsat.opb,1,100,1419,100,0.0287,22022,69222
$,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,0,-,131.362,0.0291758,131.408,114,304
*,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0026,114,304
$,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,3.61292,0.0266583,3.65569,117,312
*,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0025,117,312
$,normalized-5_7_7.opb,0,-,0.061314,0.0315275,0.116428,156,677
*,normalized-5_7_7.opb,1,0,0,0,0.0023,156,677
&,normalized-j12047_6-sat.opb,timeout,-1,-1,-1,-1,33396,116135
$,uts-l06-ipc5-h28-unknown.opb,0,-,68.5437,3.04538,77.9289,113583,649270
*,uts-l06-ipc5-h28-unknown.opb,1,100,930,100,0.2759,113583,649270
$,normalized-TateBritain_K103.opb,1,-,270.139,0.0909411,270.421,7004,7212
*,normalized-TateBritain_K103.opb,1,100,101,100,0.0101,7004,7212
$,velev-live-uns-2.0-ebuf.opb,0,-,80.6866,0.814323,83.196,14628,161477
*,velev-live-uns-2.0-ebuf.opb,1,0,0,0,0.071,14628,161477
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0502624,0.0329981,0.0987194,78,157
*,normalized-vertexcover-grid6x13-hard.opb,1,0,0,0,0.0029,78,157
$,uts-l06-ipc5-h34-unknown.opb,1,-,121.01,4.11968,136.016,184866,874988
*,uts-l06-ipc5-h34-unknown.opb,1,100,1134,100,0.3526,184866,874988
$,normalized-ECgrid5x60split.opb,0,-,208.366,0.0231559,208.408,601,301
*,normalized-ECgrid5x60split.opb,1,0,0,0,0.0025,601,301
$,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.504112,0.0322823,0.552182,105,280
*,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0027,105,280
$,normalized-j1204_7-sat.opb,1,-,0.184733,0.387654,1.16348,19844,62356
*,normalized-j1204_7-sat.opb,1,100,1367,100,0.0233,19844,62356
$,normalized-pigeon-cardinality-75-70.opb,0,-,0.0695532,0.0335278,0.151327,5250,145
*,normalized-pigeon-cardinality-75-70.opb,1,0,0,0,0.0033,5250,145
&,normalized-TateBritain_K90.opb,timeout,-1,-1,-1,-1,6120,6302
$,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,-,0.117472,0.0587531,0.313303,2280,1636
*,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,0,0,0,0.0073,2280,1636
$,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,0,-,0.0403457,0.0269952,0.0833393,301,300
*,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,1,100,150,100,0.0029,301,300
&,normalized-pigeon-clauses-21-20.opb,timeout,-1,-1,-1,-1,420,4221
&,normalized-NG_K131.opb,timeout,-1,-1,-1,-1,15589,15853
&,normalized-20.opb,timeout,-1,-1,-1,-1,9342,199352
$,normalized-vertexcover-grid8x11-hard.opb,0,-,0.0567514,0.0266543,0.0985192,88,177
*,normalized-vertexcover-grid8x11-hard.opb,1,0,0,0,0.0027,88,177
$,itox_vc909.opb,1,-,0.73089,1.74047,6.57993,112115,327768
*,itox_vc909.opb,1,100,23419,100,0.1717,112115,327768
$,normalized-2_3_4.opb,0,-,0.045135,0.0269747,0.0878583,42,161
*,normalized-2_3_4.opb,1,0,0,0,0.0025,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-t3002.11tsp11.1900670167.opb,0,-,1.30366,0.0390131,1.38791,231,2707
*,normalized-t3002.11tsp11.1900670167.opb,1,100,143,100,0.0035,231,2707
$,rbsat-v945c61409g10.opb,1,-,1119.7,0.260617,1120.57,945,61409
*,rbsat-v945c61409g10.opb,1,100,2874,100,0.0281,945,61409
&,normalized-sha1-size160-round21-2.opb,timeout,-1,-1,-1,-1,3968,7936
$,unsat-pbl-00070.sat05-1324.reshuffled-07.opb,0,-,0.337711,0.103577,0.660072,257,7375
*,unsat-pbl-00070.sat05-1324.reshuffled-07.opb,1,0,0,0,0.0122,257,7375
$,normalized-pigeon-cardinality-81-80.opb,0,-,0.0898539,0.0407167,0.187857,6480,161
*,normalized-pigeon-cardinality-81-80.opb,1,0,0,0,0.0036,6480,161
&,normalized-sha1-size128-round21-9.opb,timeout,-1,-1,-1,-1,3968,7904
$,normalized-tseitin-regular-n48-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.166233,0.0302369,0.211756,72,192
*,normalized-tseitin-regular-n48-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0027,72,192
$,normalized-fpga15_13_sat_pb.cnf.cr.opb,1,-,0.0537194,0.027429,0.103054,293,236
*,normalized-fpga15_13_sat_pb.cnf.cr.opb,1,0,0,0,0.0025,293,236
$,normalized-tseitin-regular-n70-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.211524,0.0348333,0.262082,105,280
*,normalized-tseitin-regular-n70-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0026,105,280
$,normalized-8_6_25.opb,0,-,328.377,0.0587188,328.511,1122,5318
*,normalized-8_6_25.opb,1,0,0,0,0.0048,1122,5318
$,normalized-tseitin-regular-n52-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,0.378504,0.0251685,0.419609,78,208
*,normalized-tseitin-regular-n52-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0026,78,208
$,normalized-fixed-bandwidth-70.cnf.gz-extracted.pb.metafix.opb,0,-,0.0403519,0.0222491,0.0788791,281,280
*,normalized-fixed-bandwidth-70.cnf.gz-extracted.pb.metafix.opb,1,100,140,100,0.0029,281,280
$,normalized-chnl50_60_pb.cnf.cr.opb,0,-,0.0721299,0.0380042,0.163608,6000,220
*,normalized-chnl50_60_pb.cnf.cr.opb,1,0,0,0,0.0037,6000,220
$,normalized-t2001.13queen13.1110967729.opb,0,-,0.0826665,0.0286012,0.128168,169,101
*,normalized-t2001.13queen13.1110967729.opb,1,100,28,100,0.0029,169,101
$,mod2-rand3bip-sat-210-2.sat05-2159.reshuffled-07.opb,1,-,111.056,0.0276727,111.109,210,840
*,mod2-rand3bip-sat-210-2.sat05-2159.reshuffled-07.opb,1,0,0,0,0.002,210,840
&,normalized-sha1-size112-round23-9.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-tseitin-regular-n50-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0704262,0.0284091,0.1131,75,200
*,normalized-tseitin-regular-n50-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0025,75,200
$,normalized-6_6_14.opb,0,-,0.739275,0.0347355,0.809467,420,1925
*,normalized-6_6_14.opb,1,0,0,0,0.0026,420,1925
$,normalized-fixed-bandwidth-15.cnf.gz-plain.pb.metafix.opb,0,-,13.6394,0.026412,13.6807,61,132
*,normalized-fixed-bandwidth-15.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0027,61,132
$,"normalized-ppp_1,3-13,19.opb",1,-,31.3345,0.131733,31.9053,4608,30348
*,"normalized-ppp_1,3-13,19.opb",1,0,0,0,0.014,4608,30348
&,normalized-vdw_k5_l4_n750.opb,timeout,-1,-1,-1,-1,3750,467625
