status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0659816,0.0321708,0.122685,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0038,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0448453,0.0274661,0.090561,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0036,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0491437,0.0246584,0.0941858,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0034,149,128
$,normalized-4_5_0.opb,0,-,0,0.025678,0.0399309,20,69
$,normalized-sha1-size144-round21-6.opb,1,-,1322.03,0.442411,1322.62,3968,7920
*,normalized-sha1-size144-round21-6.opb,5,100,463,100,0.37,3968,7920
$,normalized-7_7_7.opb,0,-,0.0642386,0.0342762,0.122851,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0042,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7667,0.0564598,40.882,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0181,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.385123,315.061,316.061,24684,81723
*,normalized-j12035_4-sat.opb,1,100,16519,100,314.63,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.09117,1207.23,1211.38,75527,272784
*,clauses-2.opb,1,100,24101,100,1205.76,75527,272784
$,normalized-j9040_1-unsat.opb,0,-,0,6.34942,6.60472,17290,59721
*,normalized-j9040_1-unsat.opb,1,100,0,0,6.1586,17290,59721
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0942893,0.0255724,0.134517,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0032,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0620957,0.0287536,0.112911,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0067,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0489898,0.027653,0.0971122,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0046,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0527591,0.0308844,0.104628,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0045,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0709174,0.0266297,0.112415,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0032,60,160
$,normalized-8_7_19.opb,0,-,190.675,0.0555807,190.786,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0121,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.325414,25.2312,25.7974,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,13,100,2882,100,25.0195,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.924944,0.0258154,0.967594,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0032,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.145987,0.0641563,0.287683,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0196,6435,2146
$,normalized-8_7_20.opb,1,-,0.3722,0.057072,0.496838,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.013,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0916919,0.0283248,0.137389,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0044,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.514311,0.127083,0.84488,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.05,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0900716,0.0255962,0.129519,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0039,152,305
