status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0665032,0.0270782,0.117758,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0009,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0446895,0.0262997,0.0883024,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0015,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0482669,0.0187383,0.0834692,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0016,149,128
$,normalized-4_5_0.opb,0,-,0,0.0191873,0.0337646,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0660823,0.0329728,0.124878,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0006,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7529,0.04156,40.8546,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0022,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.714717,0.50648,2.12555,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0304,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.36449,1.3421,6.18314,75527,272784
*,clauses-2.opb,1,0,0,0,0.11,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0938334,0.0245255,0.133528,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0618371,0.0209857,0.100908,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0017,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0534479,0.0281188,0.0981987,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0015,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0513662,0.0212623,0.0927793,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0016,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0706745,0.0322776,0.117744,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0017,60,160
$,normalized-8_7_19.opb,0,-,189.728,0.0412107,189.828,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0019,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.418419,0.158909,0.850621,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0.0113,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.919574,0.0195491,0.956054,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.148288,0.0428848,0.268018,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.003,6435,2146
$,normalized-8_7_20.opb,1,-,0.372731,0.0456954,0.489758,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.002,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0911249,0.0263474,0.135168,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0013,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.513293,0.0950826,0.814048,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0097,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.092649,0.0250315,0.133183,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0016,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0436082,0.0258073,0.0850546,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0017,141,70
$,normalized-107.opb,1,-,8.48594,1.36547,13.1435,10238,224043
*,normalized-107.opb,1,0,0,0,0.1342,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0508382,0.0228342,0.100156,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0.0015,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.2547,0.10254,62.5903,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,0,0,0,0.0101,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0725315,0.0274908,0.122326,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,0,0,0,0.0018,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0437015,0.0288088,0.0864592,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0017,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0422204,0.0262132,0.0836911,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0015,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0558716,0.0302284,0.102641,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.0017,138,277
$,normalized-7_7_12.opb,0,-,0.802086,0.0287738,0.865708,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.0009,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,1.01526,1.86819,7.3497,118528,348058
*,itox_vc1033.opb,1,0,0,0,0.1525,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.0428281,0.0200887,0.0799771,269,268
*,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0015,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.152196,0.028595,0.237091,231,2707
*,normalized-t3002.11tsp11.1900669309.opb,1,0,0,0,0.0014,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,81.6746,0.35012,82.7437,7000,67586
*,velev-engi-uns-1.0-4nd.opb,1,0,0,0,0.0308,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.127907,0.0338147,0.213161,231,2707
*,normalized-t3002.11tsp11.1900564822.opb,1,0,0,0,0.0014,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.29899,0.026395,1.36925,231,2707
*,normalized-t3002.11tsp11.1900551864.opb,1,0,0,0,0.0014,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.4325,0.0665936,81.6614,360,15466
*,new-difficult-20-152-18-95.opb,1,0,0,0,0.0048,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0774955,0.0219152,0.115468,78,208
*,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0017,78,208
$,normalized-ECgrid5x70split.opb,0,-,154.569,0.0253712,154.611,701,351
*,normalized-ECgrid5x70split.opb,1,0,0,0,0.0014,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0421707,0.0262257,0.0823599,105,104
*,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0017,105,104
$,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.134704,0.0230952,0.173841,81,216
