status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0683409,0.0315464,0.125612,182,798
*,normalized-6_6_7.opb,2,50,1,100,0.0008,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0449668,0.0206988,0.083136,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0013,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0489613,0.0213811,0.0873024,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0016,149,128
$,normalized-4_5_0.opb,0,-,0,0.0187894,0.034708,20,69
$,normalized-sha1-size144-round21-6.opb,1,-,1173.99,0.0753551,1174.22,3968,7920
*,normalized-sha1-size144-round21-6.opb,1,0,0,0,0.0005,3968,7920
$,normalized-7_7_7.opb,0,-,0.0706971,0.0274778,0.121502,210,929
*,normalized-7_7_7.opb,2,50,1,100,0.0005,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.5272,0.043066,40.6581,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.380617,0.621357,1.6612,24684,81723
*,normalized-j12035_4-sat.opb,20,95,8861,100,0.0949,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.36459,1.21406,6.02051,75527,272784
*,clauses-2.opb,1,0,0,0,0.0168,75527,272784
$,normalized-j9040_1-unsat.opb,0,-,0,0.320658,0.579036,17290,59721
*,normalized-j9040_1-unsat.opb,5,100,4218,100,0.0292,17290,59721
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0951746,0.0235356,0.13294,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.059191,0.0204223,0.0973735,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0013,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0522347,0.0248258,0.0950444,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0011,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0492717,0.0241304,0.0927721,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0015,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.073444,0.0246261,0.114415,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,60,160
$,normalized-8_7_19.opb,0,-,179.748,0.0403755,179.844,756,3542
*,normalized-8_7_19.opb,2,50,1,100,0.0014,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.41837,0.148229,0.834636,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0.0033,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.923733,0.0260086,0.966005,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0015,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.1452,0.0464185,0.267424,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0015,6435,2146
$,normalized-8_7_20.opb,1,-,0.737872,0.0469153,0.854785,812,3813
*,normalized-8_7_20.opb,2,50,1,100,0.0014,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0927741,0.0260292,0.13793,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0017,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.515663,0.0829986,0.804005,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0053,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0929907,0.0274902,0.138111,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0015,152,305
