status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0699704,0.0269701,0.120838,182,798
*,normalized-6_6_7.opb,1,0,0,0,0,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0445191,0.0231042,0.0883013,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0456331,0.0211834,0.0821725,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0,149,128
$,normalized-4_5_0.opb,0,-,0,0.0190426,0.0368274,20,69
$,normalized-sha1-size144-round21-6.opb,1,-,659.092,0.071385,659.321,3968,7920
*,normalized-sha1-size144-round21-6.opb,3,66.6667,170,100,0.0014,3968,7920
$,normalized-7_7_7.opb,0,-,0.0671964,0.0250936,0.116644,210,929
*,normalized-7_7_7.opb,1,0,0,0,0,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7348,0.0318156,40.8289,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0002,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.713889,0.461691,2.08177,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0009,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.35775,1.24876,6.03119,75527,272784
*,clauses-2.opb,1,0,0,0,0.0028,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0932722,0.0225435,0.130528,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0607161,0.0231373,0.105219,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0515888,0.0239145,0.0941713,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0521584,0.0256193,0.100344,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.071254,0.0209371,0.107064,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,60,160
$,normalized-8_7_19.opb,0,-,192.836,0.0389704,192.93,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.419114,0.147964,0.838993,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0.0002,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.922768,0.0243277,0.962318,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.147493,0.0420151,0.268117,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0,6435,2146
$,normalized-8_7_20.opb,1,-,0.371467,0.0493456,0.490136,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0920208,0.0270477,0.135865,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.51523,0.0823908,0.803102,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0001,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.091324,0.021881,0.130537,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0421429,0.0186781,0.076192,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0,141,70
$,normalized-107.opb,1,-,8.5292,1.21857,13.0572,10238,224043
*,normalized-107.opb,1,0,0,0,0.0219,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0522772,0.0288391,0.108598,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.2179,0.100796,62.5529,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,0,0,0,0.0001,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0718534,0.0197767,0.111588,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,0,0,0,0,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0406138,0.0266454,0.0818321,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0455248,0.0221099,0.0835983,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0001,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0552015,0.0213561,0.0933462,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0,138,277
$,normalized-7_7_12.opb,0,-,0.805026,0.0291654,0.871087,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,0.993021,1.67123,7.13611,118528,348058
*,itox_vc1033.opb,1,0,0,0,0.0035,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.0424949,0.0249452,0.0840196,269,268
*,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.154506,0.0332328,0.241623,231,2707
*,normalized-t3002.11tsp11.1900669309.opb,1,0,0,0,0,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,81.7272,0.339148,82.7816,7000,67586
*,velev-engi-uns-1.0-4nd.opb,1,0,0,0,0.0007,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.127032,0.0309977,0.20976,231,2707
*,normalized-t3002.11tsp11.1900564822.opb,1,0,0,0,0,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.30076,0.033481,1.37997,231,2707
*,normalized-t3002.11tsp11.1900551864.opb,1,0,0,0,0,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.3737,0.0591755,81.5958,360,15466
*,new-difficult-20-152-18-95.opb,1,0,0,0,0.0002,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.076823,0.0196158,0.111817,78,208
*,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,78,208
$,normalized-ECgrid5x70split.opb,0,-,155.126,0.0226094,155.17,701,351
*,normalized-ECgrid5x70split.opb,1,0,0,0,0.0002,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0414507,0.0256883,0.0810043,105,104
*,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0,105,104
$,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.136644,0.0197334,0.171474,81,216
*,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,81,216
$,normalized-vertexcover-grid4x11.opb,0,-,0.0443066,0.0232219,0.0824084,44,89
*,normalized-vertexcover-grid4x11.opb,1,0,0,0,0,44,89
$,normalized-j1208_10-unsat.opb,0,-,15.1897,0.372645,16.1131,22022,69222
*,normalized-j1208_10-unsat.opb,1,0,0,0,0.0007,22022,69222
$,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,0,-,131.476,0.0233722,131.515,114,304
*,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,114,304
$,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,3.60416,0.0224857,3.64347,117,312
*,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,117,312
$,normalized-5_7_7.opb,0,-,0.0647918,0.0277343,0.116385,156,677
*,normalized-5_7_7.opb,1,0,0,0,0,156,677
&,normalized-j12047_6-sat.opb,timeout,-1,-1,-1,-1,33396,116135
$,uts-l06-ipc5-h28-unknown.opb,0,-,69.2775,2.84284,78.5762,113583,649270
*,uts-l06-ipc5-h28-unknown.opb,1,0,0,0,0.0064,113583,649270
$,normalized-TateBritain_K103.opb,1,-,78.6608,0.0777599,78.9369,7004,7212
*,normalized-TateBritain_K103.opb,1,0,0,0,0.0001,7004,7212
$,velev-live-uns-2.0-ebuf.opb,0,-,80.9153,0.766916,83.3878,14628,161477
*,velev-live-uns-2.0-ebuf.opb,1,0,0,0,0.0017,14628,161477
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
