status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0662622,0.0309483,0.122001,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0026,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0447979,0.0291462,0.0933139,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0035,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0488475,0.0237194,0.0922908,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0034,149,128
$,normalized-4_5_0.opb,0,-,0,0.021628,0.0365309,20,69
$,normalized-7_7_7.opb,0,-,0.0654098,0.0273139,0.119752,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0027,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.8611,0.0424736,40.9654,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0062,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.708957,0.522112,2.1387,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0672,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.35562,1.4761,6.32089,75527,272784
*,clauses-2.opb,1,0,0,0,0.2256,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0960766,0.0268688,0.139105,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.003,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0618313,0.0289328,0.110652,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0033,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0511439,0.0333669,0.103103,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0025,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0511344,0.0302378,0.101477,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0033,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0716441,0.0272818,0.114759,60,160
