status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0687634,0.0288899,0.122624,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0018,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0417812,0.0270985,0.0865177,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0024,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0498827,0.0228259,0.0935548,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0026,149,128
$,normalized-4_5_0.opb,0,-,0,0.0184211,0.0316579,20,69
$,normalized-sha1-size144-round21-6.opb,1,-,1787.58,0.0700558,1787.8,3968,7920
*,normalized-sha1-size144-round21-6.opb,2,50,48,100,0.0029,3968,7920
$,normalized-7_7_7.opb,0,-,0.0679798,0.0326028,0.125257,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0018,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6455,0.0411867,40.7477,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.002,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.714356,0.452919,2.07133,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0022,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.37656,1.24398,6.09946,75527,272784
*,clauses-2.opb,1,0,0,0,0.0023,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0934702,0.0225932,0.131339,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0025,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0635396,0.0220397,0.104558,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0025,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0516323,0.0274449,0.0974457,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0021,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0513387,0.0244472,0.0981416,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0025,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0720623,0.0202097,0.106656,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0026,60,160
$,normalized-8_7_19.opb,0,-,193.107,0.039303,193.202,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.002,756,3542
