status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.07157,0.00051,0.08539,182,798
*,normalized-6_6_7.opb,1,0,0,0.00000,0.00050,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.04541,0.00003,0.05746,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0.00000,0.00000,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.04835,0.00001,0.06259,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0.00000,0.00000,149,128
$,normalized-4_5_0.opb,0,-,0.02859,0.00005,0.03997,20,69
*,normalized-4_5_0.opb,1,0,0,0.00000,0.00010,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.07213,0.00058,0.08699,210,929
*,normalized-7_7_7.opb,1,0,0,0.00000,0.00060,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.83741,0.00597,40.86100,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0.00000,0.00600,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.98910,0.31833,1.48846,24684,81723
*,normalized-j12035_4-sat.opb,1,1,14518,1.00000,0.31830,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.59244,9.64334,11.91153,75527,272784
*,clauses-2.opb,1,1,113385,1.00000,9.64330,75527,272784
$,normalized-j9040_1-unsat.opb,0,-,0.13788,0.21927,0.48282,17290,59721
*,normalized-j9040_1-unsat.opb,1,1,9492,1.00000,0.21930,17290,59721
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.09593,0.00000,0.10609,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0.00000,0.00000,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.06207,0.00027,0.07367,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0.00000,0.00030,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.05333,0.00075,0.06492,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0.00000,0.00080,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.05159,0.00002,0.06189,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0.00000,0.00000,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.07230,0.00000,0.08301,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0.00000,0.00000,60,160
$,normalized-8_7_19.opb,0,-,201.56868,0.00251,201.58765,756,3542
*,normalized-8_7_19.opb,1,0,0,0.00000,0.00250,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.41760,0.08125,0.56568,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,1,8125,1.00000,0.08120,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.91383,0.00001,0.92500,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0.00000,0.00000,93,248
