status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,1,-,0.00000,0.00050,0.00000,182,798
*,normalized-6_6_7.opb,1,0,0,0.00000,0.00050,182,798
$,normalized-6_6_7.opb,0,-,0.07104,0.03388,0.12136,182,798
*,normalized-6_6_7.opb,2,0.00000,0,0.00000,0.00050,182,798
*,normalized-6_6_7.opb,2,50.00000,1,100.00000,0.00080,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00280,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00170,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00000,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00190,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,-,0.00000,0.00002,0.00000,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0.00000,0.00000,345,344
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.04187,0.02719,0.07928,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0.00000,0,0.00000,0.00130,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0.00000,0,0.00000,0.00160,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,100.00000,172,100.00000,0.00220,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0.00000,0,0.00000,0.00160,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0.00000,0,0.00000,0.00170,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.00000,0.00001,0.00000,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0.00000,0.00000,149,128
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.04914,0.02827,0.08742,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00140,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00150,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00240,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00220,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00000,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00180,149,128
$,normalized-4_5_0.opb,1,-,0.00000,0.00005,0.00000,20,69
*,normalized-4_5_0.opb,1,0,0,0.00000,0.00010,20,69
$,normalized-4_5_0.opb,0,-,0.00000,0.02501,0.03252,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,1,-,0.00000,0.00059,0.00000,210,929
*,normalized-7_7_7.opb,1,0,0,0.00000,0.00060,210,929
$,normalized-7_7_7.opb,0,-,0.06871,0.03548,0.12245,210,929
*,normalized-7_7_7.opb,2,0.00000,0,0.00000,0.00020,210,929
*,normalized-7_7_7.opb,2,50.00000,1,100.00000,0.00050,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00280,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00170,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00000,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00240,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,1,-,0.00000,0.00574,0.00000,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0.00000,0.00570,2484,5292
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.59501,0.06063,40.70773,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00000,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00000,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00410,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00230,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00010,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.01650,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.00000,0.31604,0.00000,24684,81723
*,normalized-j12035_4-sat.opb,1,1,14518,1.00000,0.31600,24684,81723
$,normalized-j12035_4-sat.opb,1,-,0.42962,4.31226,5.50853,24684,81723
*,normalized-j12035_4-sat.opb,30,3.33333,25,100.00000,0.00030,24684,81723
*,normalized-j12035_4-sat.opb,30,63.33333,8861,100.00000,0.11180,24684,81723
*,normalized-j12035_4-sat.opb,4,100.00000,1024,100.00000,0.02280,24684,81723
*,normalized-j12035_4-sat.opb,4,0.00000,0,0.00000,0.00010,24684,81723
*,normalized-j12035_4-sat.opb,6,33.33333,934,99.14347,0.00680,24684,81723
*,normalized-j12035_4-sat.opb,7,85.71429,225,100.00000,3.52600,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,0.00000,9.62308,0.00000,75527,272784
*,clauses-2.opb,1,1,113385,1.00000,9.62310,75527,272784
$,clauses-2.opb,1,-,0.88517,1158.77926,1163.83597,75527,272784
*,clauses-2.opb,2,0.00000,0,0.00000,0.00000,75527,272784
*,clauses-2.opb,2,0.00000,0,0.00000,0.03360,75527,272784
*,clauses-2.opb,1,100.00000,5413,100.00000,0.12000,75527,272784
*,clauses-2.opb,1,0.00000,0,0.00000,0.00240,75527,272784
*,clauses-2.opb,1,0.00000,0,0.00000,0.00510,75527,272784
*,clauses-2.opb,1,100.00000,37772,100.00000,1155.90790,75527,272784
$,normalized-j9040_1-unsat.opb,1,-,0.00000,0.21858,0.00000,17290,59721
*,normalized-j9040_1-unsat.opb,1,1,9492,1.00000,0.21860,17290,59721
$,normalized-j9040_1-unsat.opb,0,-,0.00000,0.38003,0.67061,17290,59721
*,normalized-j9040_1-unsat.opb,5,0.00000,0,0.00000,0.00000,17290,59721
*,normalized-j9040_1-unsat.opb,5,100.00000,4218,100.00000,0.02420,17290,59721
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,-,0.00000,0.00000,0.00000,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0.00000,0.00000,75,200
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.09441,0.02928,0.13286,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00150,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00150,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00250,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00240,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00160,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.00000,0.00025,0.00000,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0.00000,0.00030,169,101
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.09409,0.04261,0.14882,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0.00000,0,0.00000,0.00150,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0.00000,0,0.00000,0.00160,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,100.00000,28,100.00000,0.00200,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0.00000,0,0.00000,0.00160,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0.00000,0,0.00000,0.00000,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0.00000,0,0.00000,0.00500,169,101
$,normalized-vertexcover-grid10x25.opb,1,-,0.00000,0.00073,0.00000,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0.00000,0.00070,250,501
$,normalized-vertexcover-grid10x25.opb,0,-,0.05375,0.03780,0.10395,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00110,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00130,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00260,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00230,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00000,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00330,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.00000,0.00002,0.00000,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0.00000,0.00000,234,193
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.05062,0.02847,0.09231,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00120,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00140,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00190,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00160,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00000,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00270,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,-,0.00000,0.00002,0.00000,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0.00000,0.00000,60,160
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.07199,0.03001,0.11106,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00140,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00140,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00170,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00160,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00160,60,160
$,normalized-8_7_19.opb,1,-,0.00000,0.00258,0.00000,756,3542
*,normalized-8_7_19.opb,1,0,0,0.00000,0.00260,756,3542
$,normalized-8_7_19.opb,0,-,180.81474,0.05839,180.92171,756,3542
*,normalized-8_7_19.opb,2,0.00000,0,0.00000,0.00000,756,3542
*,normalized-8_7_19.opb,2,50.00000,1,100.00000,0.00120,756,3542
*,normalized-8_7_19.opb,1,0.00000,0,0.00000,0.00360,756,3542
*,normalized-8_7_19.opb,1,0.00000,0,0.00000,0.00140,756,3542
*,normalized-8_7_19.opb,1,0.00000,0,0.00000,0.00010,756,3542
*,normalized-8_7_19.opb,1,0.00000,0,0.00000,0.01050,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,1,-,0.00000,0.07954,0.00000,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,1,8125,1.00000,0.07950,9051,25833
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.35893,23.65130,24.26528,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,25,12.00000,12,100.00000,0.00020,9051,25833
