status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0705575,0.0318551,0.127053,182,798
*,normalized-6_6_7.opb,2,0,0,0,0.0008,182,798
*,normalized-6_6_7.opb,2,50,1,100,0.0007,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0024,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0021,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0413194,0.0272607,0.0861349,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0,0,0,0.0015,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0,0,0,0.0014,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,100,172,100,0.0021,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0023,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0484737,0.0293718,0.0967618,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0016,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0016,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0017,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0023,149,128
$,normalized-4_5_0.opb,0,-,0,0.0217198,0.0363375,20,69
$,normalized-sha1-size144-round21-6.opb,1,-,0.959705,0.422183,1.53294,3968,7920
*,normalized-sha1-size144-round21-6.opb,6,0,0,0,0.0035,3968,7920
*,normalized-sha1-size144-round21-6.opb,6,0,0,0,0.0029,3968,7920
*,normalized-sha1-size144-round21-6.opb,3,66.6667,710,100,0.0131,3968,7920
*,normalized-sha1-size144-round21-6.opb,4,100,437,100,0.3201,3968,7920
$,normalized-7_7_7.opb,0,-,0.0720141,0.0287688,0.125975,210,929
*,normalized-7_7_7.opb,2,0,0,0,0.0007,210,929
*,normalized-7_7_7.opb,2,50,1,100,0.0006,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0024,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0025,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6893,0.0607842,40.8129,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0016,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.003,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.017,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.363791,1.7822,2.80478,24684,81723
*,normalized-j12035_4-sat.opb,24,37.5,38,100,0.1126,24684,81723
*,normalized-j12035_4-sat.opb,24,79.1667,8861,100,0.0722,24684,81723
*,normalized-j12035_4-sat.opb,3,66.6667,1009,100,0.0174,24684,81723
*,normalized-j12035_4-sat.opb,4,75,167,100,1.1118,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.00904,1065.49,1069.55,75527,272784
*,clauses-2.opb,2,0,0,0,0.1172,75527,272784
*,clauses-2.opb,2,0,0,0,0.0293,75527,272784
*,clauses-2.opb,1,100,5413,100,0.082,75527,272784
*,clauses-2.opb,1,100,24120,100,1063.8,75527,272784
$,normalized-j9040_1-unsat.opb,0,-,0,0.333118,0.589845,17290,59721
*,normalized-j9040_1-unsat.opb,5,60,31,100,0.0418,17290,59721
*,normalized-j9040_1-unsat.opb,5,100,4218,100,0.0239,17290,59721
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0943356,0.0243582,0.134223,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0015,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0018,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.090791,0.0301863,0.13898,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0,0,0,0.0015,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0,0,0,0.0015,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,100,28,100,0.0018,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0056,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0566617,0.0280708,0.105115,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0015,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0014,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0018,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0036,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0509778,0.0315194,0.103112,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0016,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0016,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0018,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0034,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0733926,0.0297574,0.11911,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0017,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0017,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0019,60,160
$,normalized-8_7_19.opb,0,-,179.948,0.05653,180.057,756,3542
*,normalized-8_7_19.opb,2,0,0,0,0.0023,756,3542
*,normalized-8_7_19.opb,2,50,1,100,0.0016,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0024,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0105,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.320525,25.1884,25.7458,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,20,15,894,100,0.0245,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,20,5,1,100,0.0254,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,5,100,1049,100,0.0371,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,13,100,2837,100,24.9135,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.921074,0.0289225,0.966112,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0015,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0014,93,248
