status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0679219,0.0331422,0.123348,182,798
*,normalized-6_6_7.opb,2,0,0,0,0.0005,182,798
*,normalized-6_6_7.opb,2,50,1,100,0.0007,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0028,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0018,182,798
*,normalized-6_6_7.opb,1,0,0,0,0,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0019,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0427488,0.0303407,0.0891131,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0,0,0,0.0012,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0,0,0,0.0015,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,100,172,100,0.0026,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.002,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0015,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0481881,0.0289042,0.0969797,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0014,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0014,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0017,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0015,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0019,149,128
$,normalized-4_5_0.opb,0,-,0,0.0241598,0.0370863,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0687031,0.0347813,0.129042,210,929
*,normalized-7_7_7.opb,2,0,0,0,0.0003,210,929
*,normalized-7_7_7.opb,2,50,1,100,0.0006,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0016,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0023,210,929
*,normalized-7_7_7.opb,1,0,0,0,0,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0024,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7671,0.0596279,40.8884,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.004,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0021,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0001,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0166,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.417378,4.17814,5.24222,24684,81723
*,normalized-j12035_4-sat.opb,30,3.33333,25,100,0.0003,24684,81723
*,normalized-j12035_4-sat.opb,30,63.3333,8861,100,0.1185,24684,81723
*,normalized-j12035_4-sat.opb,4,100,1024,100,0.0219,24684,81723
*,normalized-j12035_4-sat.opb,4,0,0,0,0,24684,81723
*,normalized-j12035_4-sat.opb,6,33.3333,935,99.0374,0.0061,24684,81723
*,normalized-j12035_4-sat.opb,7,85.7143,225,100,3.4919,24684,81723
$,normalized-j12052_5-unsat.opb,0,-,1717.95,74.6827,1793.43,37752,131628
*,normalized-j12052_5-unsat.opb,27,7.40741,18,100,0.0006,37752,131628
*,normalized-j12052_5-unsat.opb,27,74.0741,10710,100,0.1508,37752,131628
*,normalized-j12052_5-unsat.opb,3,100,1479,100,0.0491,37752,131628
*,normalized-j12052_5-unsat.opb,3,0,0,0,0.0001,37752,131628
*,normalized-j12052_5-unsat.opb,6,50,908,100,0.0113,37752,131628
*,normalized-j12052_5-unsat.opb,4,100,714,100,73.5642,37752,131628
$,clauses-2.opb,1,-,1.03387,1062.1,1066.19,75527,272784
*,clauses-2.opb,2,0,0,0,0,75527,272784
*,clauses-2.opb,2,0,0,0,0.0349,75527,272784
*,clauses-2.opb,1,100,5413,100,0.1097,75527,272784
*,clauses-2.opb,1,0,0,0,0.0021,75527,272784
*,clauses-2.opb,1,0,0,0,0.0989,75527,272784
*,clauses-2.opb,1,100,24120,100,1060.47,75527,272784
$,normalized-j9040_1-unsat.opb,0,-,0,0.327488,0.582911,17290,59721
*,normalized-j9040_1-unsat.opb,5,0,0,0,0,17290,59721
*,normalized-j9040_1-unsat.opb,5,100,4218,100,0.0286,17290,59721
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0948193,0.0282713,0.138883,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0022,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0021,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0911224,0.0332122,0.143567,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0,0,0,0.0013,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0,0,0,0.0013,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,100,28,100,0.0021,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0017,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.005,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0531715,0.0294313,0.101049,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0011,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0013,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0018,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0015,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0036,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0514924,0.0307684,0.10264,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0013,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0014,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0018,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0015,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0033,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0771675,0.0300232,0.124548,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0015,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0015,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0017,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0017,60,160
$,normalized-8_7_19.opb,0,-,179.885,0.0568696,179.998,756,3542
*,normalized-8_7_19.opb,2,0,0,0,0,756,3542
*,normalized-8_7_19.opb,2,50,1,100,0.001,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0038,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0014,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0001,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0103,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.34007,22.1384,22.7155,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,25,12,12,100,0.0001,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,25,4,1,100,0.0253,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,6,100,1109,100,0.0462,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,6,0,0,0,0.0026,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,14,50,870,79.4253,0.0077,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,13,100,2007,100,21.8658,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.931839,0.0284643,0.976989,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0014,93,248
