status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,1,-,0.00000,0.00048,0.00000,182,798
*,normalized-6_6_7.opb,1,0,0,0.00000,0.00050,182,798
$,normalized-6_6_7.opb,0,-,0.06733,0.03219,0.11617,182,798
*,normalized-6_6_7.opb,2,0.00000,0,0.00000,0.00080,182,798
*,normalized-6_6_7.opb,2,50.00000,1,100.00000,0.00070,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00270,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00200,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,-,0.00000,0.00002,0.00000,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0.00000,0.00000,345,344
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.04271,0.02665,0.08010,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0.00000,0,0.00000,0.00140,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0.00000,0,0.00000,0.00130,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,100.00000,172,100.00000,0.00240,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0.00000,0,0.00000,0.00230,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.00000,0.00003,0.00000,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0.00000,0.00000,149,128
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.04792,0.02912,0.08732,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00170,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00170,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00200,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00250,149,128
$,normalized-4_5_0.opb,1,-,0.00000,0.00007,0.00000,20,69
*,normalized-4_5_0.opb,1,0,0,0.00000,0.00010,20,69
$,normalized-4_5_0.opb,0,-,0.00000,0.02320,0.03030,20,69
$,normalized-sha1-size144-round21-6.opb,1,-,0.00000,0.00039,0.00000,3968,7920
*,normalized-sha1-size144-round21-6.opb,1,0,0,0.00000,0.00040,3968,7920
$,normalized-sha1-size144-round21-6.opb,1,-,0.95263,0.41909,1.51617,3968,7920
*,normalized-sha1-size144-round21-6.opb,6,0.00000,0,0.00000,0.00330,3968,7920
*,normalized-sha1-size144-round21-6.opb,6,0.00000,0,0.00000,0.00170,3968,7920
*,normalized-sha1-size144-round21-6.opb,3,66.66667,710,100.00000,0.01350,3968,7920
*,normalized-sha1-size144-round21-6.opb,4,100.00000,437,100.00000,0.32300,3968,7920
$,normalized-7_7_7.opb,1,-,0.00000,0.00059,0.00000,210,929
*,normalized-7_7_7.opb,1,0,0,0.00000,0.00060,210,929
$,normalized-7_7_7.opb,0,-,0.07025,0.03431,0.12311,210,929
*,normalized-7_7_7.opb,2,0.00000,0,0.00000,0.00070,210,929
*,normalized-7_7_7.opb,2,50.00000,1,100.00000,0.00060,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00270,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00240,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,1,-,0.00000,0.00584,0.00000,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0.00000,0.00580,2484,5292
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.85931,0.06488,40.97571,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00150,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00000,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00340,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.01710,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.00000,0.31857,0.00000,24684,81723
*,normalized-j12035_4-sat.opb,1,1,14518,1.00000,0.31860,24684,81723
$,normalized-j12035_4-sat.opb,1,-,0.37970,1.90771,3.05172,24684,81723
*,normalized-j12035_4-sat.opb,24,37.50000,38,100.00000,0.11790,24684,81723
*,normalized-j12035_4-sat.opb,24,79.16667,8861,100.00000,0.08890,24684,81723
*,normalized-j12035_4-sat.opb,3,66.66667,1009,100.00000,0.01830,24684,81723
*,normalized-j12035_4-sat.opb,4,75.00000,167,100.00000,1.12350,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,0.00000,9.66486,0.00000,75527,272784
*,clauses-2.opb,1,1,113385,1.00000,9.66490,75527,272784
$,clauses-2.opb,1,-,1.23808,1092.91151,1098.28290,75527,272784
*,clauses-2.opb,3,33.33333,44233,100.00000,0.23950,75527,272784
*,clauses-2.opb,3,0.00000,0,0.00000,0.10930,75527,272784
*,clauses-2.opb,1,100.00000,26312,100.00000,0.17860,75527,272784
*,clauses-2.opb,1,100.00000,37764,100.00000,1089.53690,75527,272784
$,normalized-j9040_1-unsat.opb,1,-,0.00000,0.21759,0.00000,17290,59721
*,normalized-j9040_1-unsat.opb,1,1,9492,1.00000,0.21760,17290,59721
$,normalized-j9040_1-unsat.opb,0,-,0.00000,0.38831,0.67920,17290,59721
*,normalized-j9040_1-unsat.opb,5,60.00000,31,100.00000,0.04650,17290,59721
*,normalized-j9040_1-unsat.opb,5,100.00000,4218,100.00000,0.03600,17290,59721
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,-,0.00000,0.00001,0.00000,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0.00000,0.00000,75,200
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.09445,0.02811,0.13203,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00160,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00150,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00190,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00190,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.00000,0.00025,0.00000,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0.00000,0.00020,169,101
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.09246,0.03559,0.14003,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0.00000,0,0.00000,0.00160,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0.00000,0,0.00000,0.00160,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,100.00000,28,100.00000,0.00220,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0.00000,0,0.00000,0.00560,169,101
$,normalized-vertexcover-grid10x25.opb,1,-,0.00000,0.00074,0.00000,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0.00000,0.00070,250,501
$,normalized-vertexcover-grid10x25.opb,0,-,0.05273,0.03095,0.09545,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00120,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00110,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00220,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00340,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.00000,0.00001,0.00000,234,193
