status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,1,-,0.00000,0.00052,0.00000,182,798
*,hbr,1,0,0,0.00000,0.00050,182,798
$,normalized-6_6_7.opb,0,-,0.06899,0.03322,0.11837,182,798
*,coefftightening,2,0.00000,0,0.00000,0.00060,182,798
*,pureliteral,2,50.00000,1,100.00000,0.00070,182,798
*,parallelrows,1,0.00000,0,0.00000,0.00280,182,798
*,probing,1,0.00000,0,0.00000,0.00200,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,-,0.00000,0.00002,0.00000,345,344
*,hbr,1,0,0,0.00000,0.00000,345,344
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.04170,0.03250,0.08498,345,344
*,coefftightening,2,0.00000,0,0.00000,0.00160,345,344
*,pureliteral,2,0.00000,0,0.00000,0.00160,345,344
*,parallelrows,1,100.00000,172,100.00000,0.00240,345,344
*,probing,1,0.00000,0,0.00000,0.00220,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.00000,0.00001,0.00000,149,128
*,hbr,1,0,0,0.00000,0.00000,149,128
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.04895,0.03047,0.09026,149,128
*,coefftightening,1,0.00000,0,0.00000,0.00170,149,128
*,pureliteral,1,0.00000,0,0.00000,0.00170,149,128
*,parallelrows,1,0.00000,0,0.00000,0.00210,149,128
*,probing,1,0.00000,0,0.00000,0.00230,149,128
$,normalized-4_5_0.opb,1,-,0.00000,0.00005,0.00000,20,69
*,hbr,1,0,0,0.00000,0.00010,20,69
$,normalized-4_5_0.opb,0,-,0.00000,0.02354,0.03091,20,69
$,normalized-sha1-size144-round21-6.opb,1,-,0.00000,0.00046,0.00000,3968,7920
*,hbr,1,0,0,0.00000,0.00050,3968,7920
$,normalized-sha1-size144-round21-6.opb,1,-,0.96154,0.41959,1.52820,3968,7920
*,coefftightening,6,0.00000,0,0.00000,0.00360,3968,7920
*,pureliteral,6,0.00000,0,0.00000,0.00320,3968,7920
*,parallelrows,3,66.66667,710,100.00000,0.01320,3968,7920
*,probing,4,100.00000,437,100.00000,0.32160,3968,7920
$,normalized-7_7_7.opb,1,-,0.00000,0.00059,0.00000,210,929
*,hbr,1,0,0,0.00000,0.00060,210,929
$,normalized-7_7_7.opb,0,-,0.07163,0.03756,0.12723,210,929
*,coefftightening,2,0.00000,0,0.00000,0.00080,210,929
*,pureliteral,2,50.00000,1,100.00000,0.00070,210,929
*,parallelrows,1,0.00000,0,0.00000,0.00250,210,929
*,probing,1,0.00000,0,0.00000,0.00230,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,1,-,0.00000,0.00594,0.00000,2484,5292
*,hbr,1,0,0,0.00000,0.00590,2484,5292
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.75402,0.06086,40.86772,2484,5292
*,coefftightening,1,0.00000,0,0.00000,0.00160,2484,5292
*,pureliteral,1,0.00000,0,0.00000,0.00040,2484,5292
*,parallelrows,1,0.00000,0,0.00000,0.00310,2484,5292
*,probing,1,0.00000,0,0.00000,0.01730,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.00000,0.31623,0.00000,24684,81723
*,hbr,1,1,14518,1.00000,0.31620,24684,81723
$,normalized-j12035_4-sat.opb,1,-,0.37961,1.87180,3.01603,24684,81723
*,coefftightening,24,37.50000,38,100.00000,0.11550,24684,81723
*,pureliteral,24,79.16667,8861,100.00000,0.07700,24684,81723
*,parallelrows,3,66.66667,1009,100.00000,0.01810,24684,81723
*,probing,4,75.00000,167,100.00000,1.12130,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,0.00000,9.62752,0.00000,75527,272784
*,hbr,1,1,113385,1.00000,9.62750,75527,272784
$,clauses-2.opb,1,-,1.22929,1098.11399,1103.48310,75527,272784
*,coefftightening,3,33.33333,44233,100.00000,0.23720,75527,272784
*,pureliteral,3,0.00000,0,0.00000,0.08760,75527,272784
*,parallelrows,1,100.00000,26312,100.00000,0.17600,75527,272784
*,probing,1,100.00000,37764,100.00000,1094.75330,75527,272784
$,normalized-j9040_1-unsat.opb,1,-,0.00000,0.21837,0.00000,17290,59721
*,hbr,1,1,9492,1.00000,0.21840,17290,59721
$,normalized-j9040_1-unsat.opb,0,-,0.00000,0.39641,0.68897,17290,59721
*,coefftightening,5,60.00000,31,100.00000,0.03910,17290,59721
*,pureliteral,5,100.00000,4218,100.00000,0.01690,17290,59721
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,-,0.00000,0.00001,0.00000,75,200
*,hbr,1,0,0,0.00000,0.00000,75,200
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.09205,0.02506,0.12659,75,200
*,coefftightening,1,0.00000,0,0.00000,0.00140,75,200
*,pureliteral,1,0.00000,0,0.00000,0.00140,75,200
*,parallelrows,1,0.00000,0,0.00000,0.00190,75,200
*,probing,1,0.00000,0,0.00000,0.00200,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.00000,0.00026,0.00000,169,101
*,hbr,1,0,0,0.00000,0.00030,169,101
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.09097,0.03530,0.13738,169,101
*,coefftightening,2,0.00000,0,0.00000,0.00140,169,101
*,pureliteral,2,0.00000,0,0.00000,0.00140,169,101
*,parallelrows,1,100.00000,28,100.00000,0.00210,169,101
*,probing,1,0.00000,0,0.00000,0.00550,169,101
$,normalized-vertexcover-grid10x25.opb,1,-,0.00000,0.00071,0.00000,250,501
*,hbr,1,0,0,0.00000,0.00070,250,501
$,normalized-vertexcover-grid10x25.opb,0,-,0.05191,0.03004,0.09430,250,501
*,coefftightening,1,0.00000,0,0.00000,0.00140,250,501
*,pureliteral,1,0.00000,0,0.00000,0.00120,250,501
*,parallelrows,1,0.00000,0,0.00000,0.00210,250,501
*,probing,1,0.00000,0,0.00000,0.00360,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.00000,0.00001,0.00000,234,193
*,hbr,1,0,0,0.00000,0.00000,234,193
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.05114,0.03083,0.09534,234,193
*,coefftightening,1,0.00000,0,0.00000,0.00160,234,193
*,pureliteral,1,0.00000,0,0.00000,0.00170,234,193
