status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.06779,0.0353331,0.125842,182,798
*,normalized-6_6_7.opb,2,0,0,0,0.0006,182,798
*,normalized-6_6_7.opb,2,50,1,100,0.0006,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0025,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0019,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0421598,0.0271704,0.0857499,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0,0,0,0.0015,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0,0,0,0.0014,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,100,172,100,0.0023,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0024,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0487935,0.0271739,0.0929201,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0015,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0015,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0017,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0022,149,128
$,normalized-4_5_0.opb,0,-,0,0.0209023,0.035965,20,69
$,normalized-sha1-size144-round21-6.opb,1,-,0.955322,0.414447,1.52238,3968,7920
*,normalized-sha1-size144-round21-6.opb,6,0,0,0,0.0033,3968,7920
*,normalized-sha1-size144-round21-6.opb,6,0,0,0,0.0036,3968,7920
*,normalized-sha1-size144-round21-6.opb,3,66.6667,710,100,0.0129,3968,7920
*,normalized-sha1-size144-round21-6.opb,4,100,437,100,0.3196,3968,7920
$,normalized-7_7_7.opb,0,-,0.0707562,0.0334648,0.129825,210,929
*,normalized-7_7_7.opb,2,0,0,0,0.0008,210,929
*,normalized-7_7_7.opb,2,50,1,100,0.0006,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0023,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0026,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7034,0.0635283,40.8271,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0016,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0001,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0029,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.017,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.367996,1.77111,2.79459,24684,81723
*,normalized-j12035_4-sat.opb,24,37.5,38,100,0.1147,24684,81723
*,normalized-j12035_4-sat.opb,24,79.1667,8861,100,0.0689,24684,81723
*,normalized-j12035_4-sat.opb,3,66.6667,1009,100,0.0175,24684,81723
*,normalized-j12035_4-sat.opb,4,75,167,100,1.1007,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.01343,1064.76,1068.83,75527,272784
*,clauses-2.opb,2,0,0,0,0.119,75527,272784
*,clauses-2.opb,2,0,0,0,0.0446,75527,272784
*,clauses-2.opb,1,100,5413,100,0.0844,75527,272784
*,clauses-2.opb,1,100,24120,100,1063.04,75527,272784
$,normalized-j9040_1-unsat.opb,0,-,0,0.323498,0.576238,17290,59721
*,normalized-j9040_1-unsat.opb,5,60,31,100,0.042,17290,59721
*,normalized-j9040_1-unsat.opb,5,100,4218,100,0.0232,17290,59721
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0940235,0.0296361,0.138491,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0017,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0017,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0019,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0923061,0.0321109,0.144124,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0,0,0,0.0015,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0,0,0,0.0015,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,100,28,100,0.0018,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0056,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0513296,0.0316619,0.102689,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0014,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0012,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.002,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0035,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0520787,0.026438,0.0980669,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0016,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0015,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0018,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0034,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.071661,0.0286579,0.114104,60,160
