status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,0,0.00000,0.00001,0.00000,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0.00000,0.00000,26,27
$,normalized-hmittelman.lin.opb,1,13,0.04329,0.02637,0.07802,26,27
*,normalized-hmittelman.lin.opb,7,0.00000,0,0.00000,0.00170,26,27
*,normalized-hmittelman.lin.opb,7,28.57143,10,100.00000,0.00180,26,27
*,normalized-hmittelman.lin.opb,7,0.00000,0,0.00000,0.00190,26,27
*,normalized-hmittelman.lin.opb,7,0.00000,0,0.00000,0.00180,26,27
*,normalized-hmittelman.lin.opb,2,0.00000,0,0.00000,0.00000,26,27
*,normalized-hmittelman.lin.opb,2,50.00000,1,100.00000,0.00190,26,27
*,normalized-hmittelman.lin.opb,2,0.00000,0,0.00000,0.00190,26,27
*,normalized-hmittelman.lin.opb,4,50.00000,2,100.00000,0.00260,26,27
*,normalized-hmittelman.lin.opb,2,0.00000,0,0.00000,0.00000,26,27
*,normalized-hmittelman.lin.opb,2,50.00000,5,100.00000,0.00180,26,27
*,normalized-hmittelman.lin.opb,1,0.00000,0,0.00000,0.00000,26,27
$,normalized-OGR_6.opb,1,0,0.00000,0.00001,0.00000,141,215
*,normalized-OGR_6.opb,1,0,0,0.00000,0.00000,141,215
$,normalized-OGR_6.opb,1,17,0.07346,0.05219,0.14881,141,215
*,normalized-OGR_6.opb,3,0.00000,0,0.00000,0.00070,141,215
*,normalized-OGR_6.opb,3,0.00000,0,0.00000,0.00160,141,215
*,normalized-OGR_6.opb,3,0.00000,0,0.00000,0.00170,141,215
*,normalized-OGR_6.opb,3,0.00000,0,0.00000,0.00090,141,215
*,normalized-OGR_6.opb,2,0.00000,0,0.00000,0.00000,141,215
*,normalized-OGR_6.opb,2,50.00000,105,100.00000,0.00450,141,215
*,normalized-OGR_6.opb,2,0.00000,0,0.00000,0.00170,141,215
*,normalized-OGR_6.opb,2,50.00000,15,0.00000,0.00710,141,215
*,normalized-OGR_6.opb,2,0.00000,0,0.00000,0.00000,141,215
*,normalized-OGR_6.opb,1,0.00000,0,0.00000,0.02010,141,215
*,normalized-OGR_6.opb,1,0.00000,0,0.00000,0.00000,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,0,0.00000,0.00215,0.00000,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,1,81,1.00000,0.00210,99,244
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.06146,0.02961,0.09948,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,3,0.00000,0,0.00000,0.00170,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,3,0.00000,0,0.00000,0.00190,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,3,0.00000,0,0.00000,0.00200,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,3,0.00000,0,0.00000,0.00190,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,0.00000,0,0.00000,0.00010,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,50.00000,1,100.00000,0.00260,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,0.00000,0,0.00000,0.00210,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,50.00000,1,0.00000,0.00300,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,0.00000,0,0.00000,0.00000,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0.00000,0,0.00000,0.00110,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0.00000,0,0.00000,0.00000,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,0,0.00000,0.00077,0.00000,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,1,0,0,0.00000,0.00080,17153,320
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,1131.21465,7.77523,1139.38314,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,36,5.55556,424,7.54717,0.09670,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,36,16.66667,82,100.00000,0.08030,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,36,33.33333,23168,100.00000,0.66590,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,36,5.55556,38,0.00000,0.02450,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,6,0.00000,0,0.00000,0.00090,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,5,0.00000,0,0.00000,0.04590,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,6,0.00000,0,0.00000,0.00040,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,6,0.00000,0,0.00000,0.00950,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,6,0.00000,0,0.00000,0.00020,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,27,96.29630,358,100.00000,6.79540,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,2,50.00000,5,100.00000,0.46490,17153,320
$,normalized-fir03_area_delay.opb,1,0,0.00000,0.02578,0.00000,3540,9890
*,normalized-fir03_area_delay.opb,1,1,1890,0.99788,0.02580,3540,9890
$,normalized-fir03_area_delay.opb,1,10,0.19241,0.16790,0.49404,3540,9890
