status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,0,0.00000,0.00001,0.00000,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0.00000,0.00000,26,27
$,normalized-hmittelman.lin.opb,1,13,0.04105,0.03656,0.08574,26,27
*,normalized-hmittelman.lin.opb,5,40.00000,10,100.00000,0.00180,26,27
*,normalized-hmittelman.lin.opb,5,0.00000,0,0.00000,0.00180,26,27
*,normalized-hmittelman.lin.opb,5,0.00000,0,0.00000,0.00180,26,27
*,normalized-hmittelman.lin.opb,2,50.00000,1,100.00000,0.00200,26,27
*,normalized-hmittelman.lin.opb,2,0.00000,0,0.00000,0.00000,26,27
*,normalized-hmittelman.lin.opb,2,50.00000,5,100.00000,0.00330,26,27
$,normalized-OGR_6.opb,1,0,0.00000,0.00001,0.00000,141,215
*,normalized-OGR_6.opb,1,0,0,0.00000,0.00000,141,215
$,normalized-OGR_6.opb,1,17,0.07244,0.04777,0.14333,141,215
*,normalized-OGR_6.opb,2,0.00000,0,0.00000,0.00140,141,215
*,normalized-OGR_6.opb,2,0.00000,0,0.00000,0.00180,141,215
*,normalized-OGR_6.opb,2,0.00000,0,0.00000,0.00090,141,215
*,normalized-OGR_6.opb,1,100.00000,105,100.00000,0.00290,141,215
*,normalized-OGR_6.opb,1,0.00000,0,0.00000,0.00000,141,215
*,normalized-OGR_6.opb,1,0.00000,0,0.00000,0.02190,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,0,0.00000,0.00219,0.00000,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,1,81,1.00000,0.00220,99,244
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.06385,0.03131,0.10292,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,0.00000,0,0.00000,0.00190,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,0.00000,0,0.00000,0.00200,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,0.00000,0,0.00000,0.00180,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,100.00000,1,100.00000,0.00210,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0.00000,0,0.00000,0.00000,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0.00000,0,0.00000,0.00250,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,0,0.00000,0.00077,0.00000,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,1,0,0,0.00000,0.00080,17153,320
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,1415.14239,5.80866,1421.34070,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,30,20.00000,82,100.00000,0.08140,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,30,36.66667,23166,100.00000,0.54210,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,30,6.66667,38,0.00000,0.08220,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,4,0.00000,0,0.00000,0.03760,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,6,0.00000,0,0.00000,0.00010,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,21,100.00000,336,100.00000,5.03710,17153,320
$,normalized-fir03_area_delay.opb,1,0,0.00000,0.02630,0.00000,3540,9890
*,normalized-fir03_area_delay.opb,1,1,1890,0.99788,0.02630,3540,9890
$,normalized-fir03_area_delay.opb,1,10,0.17932,0.11643,0.42852,3540,9890
*,normalized-fir03_area_delay.opb,3,33.33333,34,100.00000,0.00640,3540,9890
*,normalized-fir03_area_delay.opb,3,0.00000,0,0.00000,0.00840,3540,9890
*,normalized-fir03_area_delay.opb,3,0.00000,0,0.00000,0.00330,3540,9890
*,normalized-fir03_area_delay.opb,1,100.00000,91,100.00000,0.00500,3540,9890
*,normalized-fir03_area_delay.opb,1,0.00000,0,0.00000,0.00020,3540,9890
*,normalized-fir03_area_delay.opb,1,0.00000,0,0.00000,0.02550,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0.00000,0.00002,0.00000,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0.00000,0.00000,324,468
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.14540,0.03371,0.19370,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0.00000,0,0.00000,0.00140,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0.00000,0,0.00000,0.00140,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0.00000,0,0.00000,0.00100,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0.00000,0,0.00000,0.00200,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0.00000,0,0.00000,0.00000,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0.00000,0,0.00000,0.00510,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0.00000,0.03178,0.00000,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,1,35,1.00000,0.03180,2025,62145
