status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,0,0.00000,0.00000,0.00000,26,27
*,hbr,1,0,0,0.00000,0.00000,26,27
$,normalized-hmittelman.lin.opb,1,13,0.04351,0.03226,0.08445,26,27
*,colsingleton,6,0.00000,0,0.00000,0.00180,26,27
*,coefftightening,6,33.33333,10,100.00000,0.00200,26,27
*,propagation,6,0.00000,0,0.00000,0.00200,26,27
*,pureliteral,6,0.00000,0,0.00000,0.00190,26,27
*,parallelrows,2,50.00000,1,100.00000,0.00180,26,27
*,stuffing,2,0.00000,0,0.00000,0.00170,26,27
*,doubletoneq,2,0.00000,0,0.00000,0.00000,26,27
*,probing,2,50.00000,5,100.00000,0.00330,26,27
*,sparsify,1,0.00000,0,0.00000,0.00000,26,27
$,normalized-OGR_6.opb,1,0,0.00000,0.00001,0.00000,141,215
*,hbr,1,0,0,0.00000,0.00000,141,215
$,normalized-OGR_6.opb,1,17,0.07042,0.06005,0.15279,141,215
*,colsingleton,3,0.00000,0,0.00000,0.00080,141,215
*,coefftightening,3,0.00000,0,0.00000,0.00140,141,215
*,propagation,3,0.00000,0,0.00000,0.00180,141,215
*,pureliteral,3,0.00000,0,0.00000,0.00090,141,215
*,parallelrows,2,50.00000,105,100.00000,0.00360,141,215
*,stuffing,2,0.00000,0,0.00000,0.00220,141,215
*,doubletoneq,2,0.00000,0,0.00000,0.00000,141,215
*,probing,1,0.00000,0,0.00000,0.02110,141,215
*,sparsify,1,0.00000,0,0.00000,0.00000,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,0,0.00000,0.00221,0.00000,99,244
*,hbr,1,1,81,1.00000,0.00220,99,244
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.06315,0.03346,0.10458,99,244
*,colsingleton,3,0.00000,0,0.00000,0.00180,99,244
*,coefftightening,3,0.00000,0,0.00000,0.00200,99,244
*,propagation,3,0.00000,0,0.00000,0.00200,99,244
*,pureliteral,3,0.00000,0,0.00000,0.00180,99,244
*,parallelrows,2,50.00000,1,100.00000,0.00270,99,244
*,stuffing,2,0.00000,0,0.00000,0.00240,99,244
*,doubletoneq,2,0.00000,0,0.00000,0.00000,99,244
*,probing,1,0.00000,0,0.00000,0.00210,99,244
*,sparsify,1,0.00000,0,0.00000,0.00000,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,0,0.00000,0.00079,0.00000,17153,320
*,hbr,1,0,0,0.00000,0.00080,17153,320
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,1127.55317,7.77112,1135.71777,17153,320
*,colsingleton,36,5.55556,424,7.54717,0.09530,17153,320
*,coefftightening,36,16.66667,82,100.00000,0.13890,17153,320
*,propagation,36,33.33333,23168,100.00000,0.66890,17153,320
*,pureliteral,36,5.55556,38,0.00000,0.03630,17153,320
*,parallelrows,5,0.00000,0,0.00000,0.04640,17153,320
*,stuffing,6,0.00000,0,0.00000,0.00030,17153,320
*,doubletoneq,6,0.00000,0,0.00000,0.00010,17153,320
*,probing,27,96.29630,358,100.00000,6.79650,17153,320
*,sparsify,2,50.00000,5,100.00000,0.45510,17153,320
$,normalized-fir03_area_delay.opb,1,0,0.00000,0.02571,0.00000,3540,9890
*,hbr,1,1,1890,0.99788,0.02570,3540,9890
$,normalized-fir03_area_delay.opb,1,10,0.19425,0.15390,0.48125,3540,9890
*,colsingleton,7,14.28571,75,100.00000,0.00040,3540,9890
*,coefftightening,7,28.57143,40,100.00000,0.00930,3540,9890
*,propagation,7,0.00000,0,0.00000,0.00860,3540,9890
*,pureliteral,7,0.00000,0,0.00000,0.00510,3540,9890
*,parallelrows,2,50.00000,91,100.00000,0.00810,3540,9890
*,stuffing,2,0.00000,0,0.00000,0.00250,3540,9890
*,doubletoneq,3,33.33333,14,100.00000,0.00060,3540,9890
*,probing,2,0.00000,0,0.00000,0.05600,3540,9890
*,sparsify,1,0.00000,0,0.00000,0.00000,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0.00000,0.00004,0.00000,324,468
*,hbr,1,0,0,0.00000,0.00000,324,468
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.14562,0.03280,0.19298,324,468
*,colsingleton,2,0.00000,0,0.00000,0.00090,324,468
*,coefftightening,2,0.00000,0,0.00000,0.00140,324,468
*,propagation,2,0.00000,0,0.00000,0.00140,324,468
*,pureliteral,2,0.00000,0,0.00000,0.00110,324,468
*,parallelrows,1,0.00000,0,0.00000,0.00200,324,468
*,stuffing,1,0.00000,0,0.00000,0.00180,324,468
*,doubletoneq,1,0.00000,0,0.00000,0.00000,324,468
*,probing,1,0.00000,0,0.00000,0.00470,324,468
*,sparsify,1,0.00000,0,0.00000,0.00010,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0.00000,0.03181,0.00000,2025,62145
*,hbr,1,1,35,1.00000,0.03180,2025,62145
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,755.66857,0.82889,757.31457,2025,62145
