status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,0,0.00000,0.00000,0.00000,26,27
*,hbr,1,0,0,0.00000,0.00000,26,27
$,normalized-hmittelman.lin.opb,1,13,0.04320,0.02729,0.07869,26,27
*,propagation,2,0.00000,0,0.00000,0.00180,26,27
*,parallelrows,1,100.00000,1,100.00000,0.00160,26,27
*,simplifyineq,1,0.00000,0,0.00000,0.00220,26,27
*,doubletoneq,1,0.00000,0,0.00000,0.00000,26,27
$,normalized-OGR_6.opb,1,0,0.00000,0.00001,0.00000,141,215
*,hbr,1,0,0,0.00000,0.00000,141,215
$,normalized-OGR_6.opb,1,17,0.07583,0.03216,0.13085,141,215
*,propagation,2,0.00000,0,0.00000,0.00150,141,215
*,parallelrows,1,100.00000,105,100.00000,0.00650,141,215
*,simplifyineq,2,50.00000,15,0.00000,0.00740,141,215
*,doubletoneq,1,0.00000,0,0.00000,0.00000,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,0,0.00000,0.00223,0.00000,99,244
*,hbr,1,1,81,1.00000,0.00220,99,244
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.06403,0.02804,0.09986,99,244
*,propagation,2,0.00000,0,0.00000,0.00180,99,244
*,parallelrows,1,100.00000,1,100.00000,0.00180,99,244
*,simplifyineq,2,50.00000,1,0.00000,0.00310,99,244
*,doubletoneq,1,0.00000,0,0.00000,0.00000,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,0,0.00000,0.02609,0.00000,3540,9890
*,hbr,1,1,1890,0.99788,0.02610,3540,9890
$,normalized-fir03_area_delay.opb,1,10,0.15477,0.08732,0.37536,3540,9890
*,propagation,2,0.00000,0,0.00000,0.00420,3540,9890
*,parallelrows,1,100.00000,78,100.00000,0.00770,3540,9890
*,simplifyineq,1,0.00000,0,0.00000,0.01100,3540,9890
*,doubletoneq,1,0.00000,0,0.00000,0.00020,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0.00000,0.00002,0.00000,324,468
*,hbr,1,0,0,0.00000,0.00000,324,468
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.14663,0.02766,0.18856,324,468
*,propagation,1,0.00000,0,0.00000,0.00140,324,468
*,parallelrows,1,0.00000,0,0.00000,0.00200,324,468
*,simplifyineq,1,0.00000,0,0.00000,0.00290,324,468
*,doubletoneq,1,0.00000,0,0.00000,0.00000,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0.00000,0.03163,0.00000,2025,62145
*,hbr,1,1,35,1.00000,0.03160,2025,62145
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,587.75551,0.40191,588.98936,2025,62145
*,propagation,1,0.00000,0,0.00000,0.03040,2025,62145
*,parallelrows,1,0.00000,0,0.00000,0.06650,2025,62145
*,simplifyineq,1,0.00000,0,0.00000,0.07020,2025,62145
*,doubletoneq,1,0.00000,0,0.00000,0.00110,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,0,0.00000,0.07449,0.00000,5530,24745
*,hbr,1,1,15398,0.99825,0.07450,5530,24745
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.40521,0.28285,1.12460,5530,24745
*,propagation,4,50.00000,10,100.00000,0.01950,5530,24745
*,parallelrows,1,100.00000,1457,100.00000,0.03810,5530,24745
*,simplifyineq,1,0.00000,0,0.00000,0.05350,5530,24745
*,doubletoneq,1,0.00000,0,0.00000,0.00080,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0.00000,0.00194,0.00000,54540,1503
*,hbr,1,0,0,0.00000,0.00190,54540,1503
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,4.26133,1.04614,6.86694,54540,1503
*,propagation,3,66.66667,55622,100.00000,0.26840,54540,1503
*,parallelrows,1,0.00000,0,0.00000,0.05230,54540,1503
*,simplifyineq,1,0.00000,0,0.00000,0.02890,54540,1503
*,doubletoneq,1,0.00000,0,0.00000,0.00050,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,0,0.00000,0.00218,0.00000,99,244
*,hbr,1,1,81,1.00000,0.00220,99,244
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.06992,0.03393,0.11198,99,244
*,propagation,3,33.33333,2,100.00000,0.00200,99,244
*,parallelrows,1,100.00000,1,100.00000,0.00190,99,244
*,simplifyineq,2,50.00000,1,0.00000,0.00320,99,244
*,doubletoneq,1,0.00000,0,0.00000,0.00000,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,0,0.00000,0.00223,0.00000,99,244
*,hbr,1,1,81,1.00000,0.00220,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.07683,0.02997,0.11507,99,244
*,propagation,2,0.00000,0,0.00000,0.00190,99,244
*,parallelrows,1,100.00000,1,100.00000,0.00190,99,244
