status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0423316,0.0275303,0.0833726,26,27
*,colsingleton,6,0,0,0,0.0016,26,27
*,coefftightening,6,33.3333,10,100,0.0017,26,27
*,propagation,6,0,0,0,0.0017,26,27
*,pureliteral,6,0,0,0,0.0017,26,27
*,parallelrows,2,50,1,100,0.0017,26,27
*,stuffing,2,0,0,0,0.0016,26,27
*,doubletoneq,2,0,0,0,0,26,27
*,probing,2,50,5,100,0.003,26,27
*,sparsify,1,0,0,0,0,26,27
$,normalized-OGR_6.opb,1,17,0.0721946,0.0475702,0.150448,141,215
*,colsingleton,3,0,0,0,0.0007,141,215
*,coefftightening,3,0,0,0,0.0016,141,215
*,propagation,3,0,0,0,0.0017,141,215
*,pureliteral,3,0,0,0,0.001,141,215
*,parallelrows,2,50,105,100,0.0035,141,215
*,stuffing,2,0,0,0,0.0021,141,215
*,doubletoneq,2,0,0,0,0,141,215
*,probing,1,0,0,0,0.0205,141,215
*,sparsify,1,0,0,0,0,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0649332,0.0264203,0.109459,99,244
*,colsingleton,2,0,0,0,0.0014,99,244
*,coefftightening,2,0,0,0,0.0016,99,244
*,propagation,2,0,0,0,0.0018,99,244
*,pureliteral,2,0,0,0,0.0015,99,244
*,parallelrows,1,0,0,0,0.002,99,244
*,stuffing,1,0,0,0,0.0018,99,244
*,doubletoneq,1,0,0,0,0.0018,99,244
*,probing,1,0,0,0,0.002,99,244
*,sparsify,1,0,0,0,0,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,1209.46,7.71864,1217.59,17153,320
*,colsingleton,36,5.55556,424,7.54717,0.0944,17153,320
*,coefftightening,36,16.6667,82,100,0.1091,17153,320
*,propagation,36,33.3333,23168,100,0.6688,17153,320
*,pureliteral,36,5.55556,38,0,0.0565,17153,320
*,parallelrows,5,0,0,0,0.0449,17153,320
*,stuffing,6,0,0,0,0.0003,17153,320
*,doubletoneq,6,0,0,0,0.0001,17153,320
*,probing,27,96.2963,358,100,6.778,17153,320
*,sparsify,2,50,5,100,0.435,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.178601,0.112533,0.429289,3540,9890
*,colsingleton,4,25,75,100,0.0004,3540,9890
*,coefftightening,4,0,0,0,0.0076,3540,9890
*,propagation,4,0,0,0,0.0076,3540,9890
*,pureliteral,4,0,0,0,0.0031,3540,9890
*,parallelrows,2,50,98,100,0.0077,3540,9890
*,stuffing,2,0,0,0,0.0023,3540,9890
*,doubletoneq,2,50,1,100,0.0005,3540,9890
*,probing,1,0,0,0,0.0239,3540,9890
*,sparsify,1,0,0,0,0,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.147581,0.0347981,0.204306,324,468
*,colsingleton,2,0,0,0,0.0009,324,468
*,coefftightening,2,0,0,0,0.0013,324,468
*,propagation,2,0,0,0,0.0014,324,468
*,pureliteral,2,0,0,0,0.0011,324,468
*,parallelrows,1,0,0,0,0.0025,324,468
*,stuffing,1,0,0,0,0.0023,324,468
*,doubletoneq,1,0,0,0,0,324,468
*,probing,1,0,0,0,0.0047,324,468
*,sparsify,1,0,0,0,0.0001,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,461.187,0.794608,462.829,2025,62145
*,colsingleton,3,0,0,0,0,2025,62145
*,coefftightening,3,0,0,0,0.0468,2025,62145
*,propagation,3,0,0,0,0.057,2025,62145
*,pureliteral,3,0,0,0,0.0148,2025,62145
*,parallelrows,1,0,0,0,0.0223,2025,62145
*,stuffing,2,0,0,0,0.0027,2025,62145
*,doubletoneq,2,0,0,0,0.0015,2025,62145
*,probing,2,50,8,100,0.426,2025,62145
*,sparsify,1,0,0,0,0.0005,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.261209,2.13497,2.67166,5530,24745
*,colsingleton,22,18.1818,592,96.7905,0.0045,5530,24745
*,coefftightening,22,4.54545,3,100,0.035,5530,24745
*,propagation,22,9.09091,10,100,0.032,5530,24745
*,pureliteral,22,68.1818,136,99.2647,0.0313,5530,24745
*,parallelrows,4,100,2056,100,0.0273,5530,24745
*,stuffing,4,0,0,0,0.0025,5530,24745
*,doubletoneq,7,42.8571,100,100,0.0021,5530,24745
*,probing,5,60,954,100,1.87,5530,24745
*,sparsify,2,50,42,100,0.0008,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,3.75685,1.98334,7.34808,54540,1503
*,colsingleton,5,20,130,7.69231,0.0189,54540,1503
*,coefftightening,5,20,783,100,0.2932,54540,1503
*,propagation,5,40,55622,100,0.3619,54540,1503
*,pureliteral,5,20,120,100,0.0796,54540,1503
*,parallelrows,1,0,0,0,0.0393,54540,1503
*,stuffing,2,0,0,0,0.0004,54540,1503
*,doubletoneq,2,0,0,0,0.0001,54540,1503
*,probing,2,0,0,0,0.8107,54540,1503
