status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.040617,0.0224478,0.0760383,26,27
*,normalized-hmittelman.lin.opb,2,0,0,0,0.0015,26,27
*,normalized-hmittelman.lin.opb,1,100,1,100,0.0018,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0027,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0,26,27
$,normalized-OGR_6.opb,1,17,0.072191,0.0304967,0.133133,141,215
*,normalized-OGR_6.opb,2,0,0,0,0.0016,141,215
*,normalized-OGR_6.opb,1,100,105,100,0.0042,141,215
*,normalized-OGR_6.opb,2,50,15,0,0.0075,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0039,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0625881,0.0279952,0.108816,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0014,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.002,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0032,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.141881,0.082545,0.362957,3540,9890
*,normalized-fir03_area_delay.opb,2,0,0,0,0.0037,3540,9890
*,normalized-fir03_area_delay.opb,1,100,98,100,0.0118,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.012,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0003,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.146731,0.025651,0.193056,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0014,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0021,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0034,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0029,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,535.242,0.305511,536.376,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0305,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0699,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0676,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0204,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.365646,0.195303,0.890224,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,4,50,10,100,0.0148,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,100,1560,100,0.0329,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0295,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0005,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,4.23009,1.02186,6.85599,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,3,66.6667,55622,100,0.2647,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0527,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0262,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0001,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0622259,0.0254618,0.106729,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,2,50,2,100,0.0015,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0021,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0026,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0732456,0.0233416,0.113268,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0017,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0017,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0024,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0023,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0630041,0.0303862,0.111862,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0015,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0019,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0032,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.021425,0.0421001,245,1233
$,normalized-j3028_7.std.opb,1,48,0.339458,0.402379,1.49579,18662,62670
*,normalized-j3028_7.std.opb,2,0,0,0,0.0258,18662,62670
