status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
@,normalized-6_6_7.opb,0,-,0.0931045,0,0.0931045,182,798
@,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0558061,0,0.0558061,345,344
@,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0608541,0,0.0608541,149,128
@,normalized-4_5_0.opb,0,-,0.0511366,0,0.0511366,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
@,normalized-7_7_7.opb,0,-,0.116304,0,0.116304,210,929
@,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7248,0,40.7248,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
@,normalized-j12035_4-sat.opb,1,-,0.951454,0,0.951454,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
@,clauses-2.opb,1,-,1.30533,0,1.30533,75527,272784
@,normalized-j9040_1-unsat.opb,0,-,0.110122,0,0.110122,17290,59721
@,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.104709,0,0.104709,75,200
@,normalized-t2001.13queen13.1110970277.opb,1,-,0.0740921,0,0.0740921,169,101
@,normalized-vertexcover-grid10x25.opb,0,-,0.0844131,0,0.0844131,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
@,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0881374,0,0.0881374,234,193
@,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0837682,0,0.0837682,60,160
@,normalized-8_7_19.opb,0,-,200.341,0,200.341,756,3542
@,normalized-dlx1c.rwmem.ucl.opb,0,-,0.419248,0,0.419248,9051,25833
@,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.945374,0,0.945374,93,248
@,normalized-sumineqArity3pyramidP0064.opb,0,-,0.17683,0,0.17683,6435,2146
@,normalized-8_7_20.opb,1,-,0.101984,0,0.101984,812,3813
@,normalized-vertexcover-grid8x25-hard.opb,0,-,0.105028,0,0.105028,200,401
@,normalized-sumineqArity5houseP064.opb,0,-,0.524345,0,0.524345,20795,4160
@,normalized-vertexcover-grid8x19-hard.opb,0,-,0.116567,0,0.116567,152,305
@,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0526138,0,0.0526138,141,70
@,normalized-107.opb,1,-,10.1416,0,10.1416,10238,224043
@,normalized-j1205_1-unsat.opb,0,-,0.114111,0,0.114111,22264,70239
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
@,normalized-pigeon-cardinality-45-40.opb,0,-,0.0611265,0,0.0611265,1800,85
@,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,57.9063,0,57.9063,1472,7737
@,normalized-t2001.13queen13.1110968431.opb,1,-,0.0834534,0,0.0834534,169,101
@,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0508846,0,0.0508846,105,104
@,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0637153,0,0.0637153,261,130
@,normalized-vertexcover-grid6x23-hard.opb,0,-,0.103837,0,0.103837,138,277
@,normalized-7_7_12.opb,0,-,0.851977,0,0.851977,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
@,normalized-184.opb,1,-,62.9685,0,62.9685,1025127,24132986
@,itox_vc1033.opb,1,-,1.07363,0,1.07363,118528,348058
@,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.051936,0,0.051936,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
@,normalized-t3002.11tsp11.1900669309.opb,1,-,0.182978,0,0.182978,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
@,velev-engi-uns-1.0-4nd.opb,0,-,84.2324,0,84.2324,7000,67586
@,normalized-t3002.11tsp11.1900564822.opb,1,-,0.169216,0,0.169216,231,2707
@,normalized-t3002.11tsp11.1900551864.opb,0,-,1.34762,0,1.34762,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
@,new-difficult-20-152-18-95.opb,1,-,81.3474,0,81.3474,360,15466
@,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0873778,0,0.0873778,78,208
@,normalized-ECgrid5x70split.opb,0,-,153.962,0,153.962,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
@,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0517386,0,0.0517386,105,104
@,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.158888,0,0.158888,81,216
@,normalized-vertexcover-grid4x11.opb,0,-,0.0827053,0,0.0827053,44,89
@,normalized-j1208_10-unsat.opb,0,-,19.8635,0,19.8635,22022,69222
@,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,0,-,131.275,0,131.275,114,304
@,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,3.6268,0,3.6268,117,312
@,normalized-5_7_7.opb,0,-,0.0910366,0,0.0910366,156,677
&,normalized-j12047_6-sat.opb,timeout,-1,-1,-1,-1,33396,116135
@,uts-l06-ipc5-h28-unknown.opb,0,-,48.908,0,48.908,113583,649270
@,normalized-TateBritain_K103.opb,1,-,510.385,0,510.385,7004,7212
@,velev-live-uns-2.0-ebuf.opb,0,-,84.0367,0,84.0367,14628,161477
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
@,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0691926,0,0.0691926,78,157
@,uts-l06-ipc5-h34-unknown.opb,1,-,96.3951,0,96.3951,184866,874988
@,normalized-ECgrid5x60split.opb,0,-,208.721,0,208.721,601,301
@,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.51759,0,0.51759,105,280
@,normalized-j1204_7-sat.opb,1,-,0.251716,0,0.251716,19844,62356
@,normalized-pigeon-cardinality-75-70.opb,0,-,0.101537,0,0.101537,5250,145
&,normalized-TateBritain_K90.opb,timeout,-1,-1,-1,-1,6120,6302
@,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,-,0.160596,0,0.160596,2280,1636
@,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,0,-,0.0550315,0,0.0550315,301,300
&,normalized-pigeon-clauses-21-20.opb,timeout,-1,-1,-1,-1,420,4221
&,normalized-NG_K131.opb,timeout,-1,-1,-1,-1,15589,15853
&,normalized-20.opb,timeout,-1,-1,-1,-1,9342,199352
@,normalized-vertexcover-grid8x11-hard.opb,0,-,0.0828187,0,0.0828187,88,177
@,itox_vc909.opb,1,-,0.829833,0,0.829833,112115,327768
@,normalized-2_3_4.opb,0,-,0.0581892,0,0.0581892,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
@,normalized-t3002.11tsp11.1900670167.opb,0,-,1.0148,0,1.0148,231,2707
@,rbsat-v945c61409g10.opb,1,-,1083.36,0,1083.36,945,61409
&,normalized-sha1-size160-round21-2.opb,timeout,-1,-1,-1,-1,3968,7936
@,unsat-pbl-00070.sat05-1324.reshuffled-07.opb,0,-,0.333991,0,0.333991,257,7375
@,normalized-pigeon-cardinality-81-80.opb,0,-,0.127035,0,0.127035,6480,161
@,normalized-sha1-size128-round21-9.opb,1,-,282.426,0,282.426,3968,7904
@,normalized-j9048_1-unsat.opb,0,-,0.229865,0,0.229865,15106,51743
@,normalized-tseitin-regular-n48-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.189201,0,0.189201,72,192
@,normalized-fpga15_13_sat_pb.cnf.cr.opb,1,-,0.108749,0,0.108749,293,236
@,normalized-tseitin-regular-n70-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.223022,0,0.223022,105,280
@,normalized-8_6_25.opb,0,-,351.231,0,351.231,1122,5318
@,normalized-tseitin-regular-n52-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,0.387222,0,0.387222,78,208
@,normalized-fixed-bandwidth-70.cnf.gz-extracted.pb.metafix.opb,0,-,0.0502204,0,0.0502204,281,280
@,normalized-chnl50_60_pb.cnf.cr.opb,0,-,0.106181,0,0.106181,6000,220
@,normalized-t2001.13queen13.1110967729.opb,0,-,0.12192,0,0.12192,169,101
@,mod2-rand3bip-sat-210-2.sat05-2159.reshuffled-07.opb,1,-,109.913,0,109.913,210,840
&,normalized-sha1-size112-round23-9.opb,timeout,-1,-1,-1,-1,4288,9488
@,normalized-tseitin-regular-n50-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0799445,0,0.0799445,75,200
@,normalized-6_6_14.opb,0,-,1.13162,0,1.13162,420,1925
@,normalized-fixed-bandwidth-15.cnf.gz-plain.pb.metafix.opb,0,-,13.529,0,13.529,61,132
@,"normalized-ppp_1,3-13,19.opb",1,-,31.3263,0,31.3263,4608,30348
&,normalized-vdw_k5_l4_n750.opb,timeout,-1,-1,-1,-1,3750,467625
@,normalized-j6028_7-sat.opb,1,-,0.142693,0,0.142693,9272,30380
@,UR-10-5p0.opb,0,-,114.586,0,114.586,104479,500869
@,normalized-fixed-bandwidth-22.cnf.gz-extracted.pb.metafix.opb,0,-,0.0494236,0,0.0494236,89,88
@,normalized-pigeon-cardinality-71-70.opb,0,-,0.0831603,0,0.0831603,4970,141
@,normalized-41.opb,1,-,879.645,0,879.645,5690,119124
@,AProVE07-20.opb,0,-,576.764,0,576.764,7847,73394
@,normalized-t2001.13queen13.1111223596.opb,1,-,0.137307,0,0.137307,169,101
@,normalized-j3025_1-sat.opb,1,-,0.586403,0,0.586403,5828,19158
@,normalized-vertexcover-grid10x27-hard.opb,0,-,0.372003,0,0.372003,270,541
@,normalized-vertexcover-completegraph-41.opb,0,-,0.0643729,0,0.0643729,41,821
@,mod2-rand3bip-sat-240-3.sat05-2205.reshuffled-07.opb,1,-,63.7901,0,63.7901,240,960
