status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
@,normalized-hmittelman.lin.opb,1,13,0.0745868,0,0.0745868,26,27
@,normalized-OGR_6.opb,1,17,0.110002,0,0.110002,141,215
@,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0903731,0,0.0903731,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
@,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,1185.47,0,1185.47,17153,320
@,normalized-fir03_area_delay.opb,1,10,0.215455,0,0.215455,3540,9890
@,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.188406,0,0.188406,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
@,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,530.417,0,530.417,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
@,normalized-rand767898.cudf.paranoid.opb,1,4821,0.456437,0,0.456437,5530,24745
@,normalized-reduced-mps-v2-20-10-degen3.opb,0,-,32.322,0,32.322,54540,1503
@,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0750864,0,0.0750864,99,244
@,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.127214,0,0.127214,99,244
@,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0989649,0,0.0989649,100,350
@,normalized-995.cudf.trendy.opb,0,-,0.0945338,0,0.0945338,245,1233
@,normalized-j3028_7.std.opb,1,48,0.397458,0,0.397458,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
@,normalized-neos-859770.opb,0,-,250.985,0,250.985,2504,2065
@,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.104257,0,0.104257,99,244
@,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0542552,0,0.0542552,64,46
@,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0871863,0,0.0871863,56,5
@,normalized-mspp16.opb,1,33,47.0771,0,47.0771,29280,561657
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
@,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.101964,0,0.101964,99,244
@,normalized-bogr_6.opb,1,17,0.129964,0,0.129964,139,216
@,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0876387,0,0.0876387,99,244
@,normalized-fx84.opb,1,8,0.872021,0,0.872021,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
@,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.1905,0,17.1905,83000,1820
@,normalized-cm42a.opb,1,694,0.119357,0,0.119357,99,185
@,normalized-e64.b.opb,1,47,755.252,0,755.252,607,1022
@,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0858038,0,0.0858038,144,70
@,normalized-fir06_area_opers.opb,1,23,0.898492,0,0.898492,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
@,normalized-aim-50-3_4-yes1-4.opb,1,50,0.068835,0,0.068835,100,220
@,normalized-mps-v2-20-10-neos10.opb,1,-1135,2.55775,0,2.55775,23534,46798
@,normalized-mps-v2-20-10-net12.opb,1,214,2.80785,0,2.80785,147395,26533
@,normalized-factor-size=9-P=157-Q=163.opb,1,157,0.0987446,0,0.0987446,99,244
@,normalized-lo_10x10_006.opb.metafix.opb,1,40,0.0951211,0,0.0951211,100,58
&,normalized-mul_8_13_shg.opb,timeout,-1,-1,-1,-1,15312,65280
&,normalized-matrix_5x3_2.opb,timeout,-1,-1,-1,-1,8901,32298
@,normalized-reduced-mps-v2-20-10-enigma.opb,1,0,0.138504,0,0.138504,100,21
&,normalized-market-split_8_70_2.opb,timeout,-1,-1,-1,-1,71,17
@,normalized-factor-size=9-P=251-Q=307.opb,1,251,0.110783,0,0.110783,99,244
&,normalized-j1206_4.std.opb,timeout,-1,-1,-1,-1,72842,234497
@,normalized-f20c10b_025_area_delay.opb,1,25,71.4901,0,71.4901,16199,117024
&,normalized-m100_300_10_20.r.opb,timeout,-1,-1,-1,-1,299,100
&,normalized-aug4.5.opb,timeout,-1,-1,-1,-1,9632,29620
&,normalized-aug6.5.opb,timeout,-1,-1,-1,-1,9632,29620
@,normalized-bench1.r.opb,1,121,1627.65,0,1627.65,4688,403
&,normalized-reduced-mps-v2-20-10-gesa2.opb,timeout,-1,-1,-1,-1,19344,1824
&,normalized-30_30_4.5_0.95_100.opb,timeout,-1,-1,-1,-1,4617,5280
@,normalized-lo_10x10_001.opb.metafix.opb,1,52,0.101187,0,0.101187,100,58
@,normalized-j9027_5.std.opb,1,99,0.953424,0,0.953424,54782,184432
@,normalized-rand271a0d.cudf.paranoid.opb,0,-,0.124052,0,0.124052,5453,24268
@,normalized-factor-size=9-P=449-Q=479.opb,1,449,0.104355,0,0.104355,99,244
@,normalized-g9x9.opb,1,20,0.248612,0,0.248612,81,81
@,normalized-lo_16x16_002.opb.metafix.opb,1,115,0.132931,0,0.132931,256,94
